Date,Clones,Views
2025-02-22,0,6
2025-02-23,7,35
2025-02-24,3,43
2025-02-25,2,21
2025-02-26,13,67
2025-02-27,1,83
2025-02-28,2,65
2025-03-01,2,5
2025-03-02,1,26
2025-03-03,0,102
2025-03-04,0,84
2025-03-05,0,71
2025-03-06,2,55
2025-03-07,15,129
2025-03-08,36,250
2025-03-09,1,33
2025-03-10,0,68
2025-03-11,1,28
2025-03-12,0,117
2025-03-13,5,53
2025-03-14,1,15
2025-03-15,3,40
2025-03-16,6,8
2025-03-17,1,15
2025-03-18,1,17
2025-03-19,8,44
2025-03-20,3,9
2025-03-21,0,20
2025-03-22,3,1
2025-03-23,1,8
2025-03-24,4,62
2025-03-25,0,19
2025-03-26,7,22
2025-03-27,0,28
2025-03-28,0,3
2025-03-29,2,9
2025-03-30,3,2
2025-03-31,4,12
2025-04-01,3,12
2025-04-02,6,132
2025-04-03,17,103
2025-04-04,7,33
2025-04-05,2,64
2025-04-06,2,12
2025-04-07,1,29
2025-04-08,6,4
2025-04-09,2,13
2025-04-10,0,3
2025-04-11,1,25
2025-04-12,2,1
2025-04-13,0,5
2025-04-14,0,1
2025-04-15,2,21
2025-04-16,16,93
2025-04-17,2,18
2025-04-18,3,19
2025-04-19,12,37
2025-04-20,0,203
2025-04-21,1,12
2025-04-22,2,38
2025-04-23,9,98
2025-04-24,2,37
2025-04-25,7,21
2025-04-26,6,12
2025-04-27,0,5
2025-04-28,0,32
2025-04-29,0,25
2025-04-30,0,17
2025-05-01,3,8
2025-05-02,7,54
2025-05-03,1,33
2025-05-04,2,61
2025-05-05,2,20
2025-05-06,3,56
2025-05-07,12,301
2025-05-08,5,59
2025-05-09,0,114
2025-05-10,2,2
2025-05-11,3,40
2025-05-12,4,194
2025-05-13,10,120
2025-05-14,20,301
2025-05-15,7,283
2025-05-16,4,40
2025-05-17,2,1
2025-05-18,0,13
2025-05-19,0,112
2025-05-20,0,95
2025-05-21,4,50
2025-05-22,3,36
2025-05-23,5,9
2025-05-24,7,2
2025-05-25,0,37
2025-05-26,2,87
2025-05-27,1,15
2025-05-28,1,24
2025-05-29,0,17
2025-05-30,2,14
2025-05-31,2,6
2025-06-01,4,3
2025-06-02,3,89
2025-06-03,3,35
2025-06-04,1,69
2025-06-05,3,45
2025-06-06,0,28
2025-06-07,5,19
2025-06-08,4,10
2025-06-09,1,32
2025-06-10,0,13
2025-06-11,1,41
2025-06-12,2,150
2025-06-13,3,37
2025-06-14,1,3
2025-06-15,1,50
2025-06-16,5,118
2025-06-17,1,49
2025-06-18,2,71
2025-06-19,0,19
2025-06-20,1,28
2025-06-21,1,15
2025-06-22,0,2
2025-06-23,1,39
2025-06-24,4,47
2025-06-25,0,55
2025-06-26,0,53
2025-06-27,0,63
2025-06-28,0,23
2025-06-29,5,13
2025-06-30,2,41
2025-07-01,1,33
2025-07-02,1,17
2025-07-03,0,26
2025-07-04,2,9
2025-07-05,1,25
2025-07-06,1,0
2025-07-07,0,2
2025-07-08,4,13
2025-07-09,1,68
2025-07-10,0,3
2025-07-11,0,26
2025-07-12,2,0
2025-07-13,1,32
2025-07-14,1,16
2025-07-15,3,34
2025-07-16,0,2
2025-07-17,2,16
2025-07-18,2,3
2025-07-19,1,31
2025-07-20,0,32
2025-07-21,1,62
2025-07-22,8,24
2025-07-23,0,16
2025-07-24,3,31
2025-07-25,1,63
2025-07-26,2,54
2025-07-27,0,52
2025-07-28,4,16
2025-07-29,1,53
2025-07-30,8,135
2025-07-31,3,71
2025-08-01,2,18
2025-08-02,2,4
2025-08-03,3,2
2025-08-04,2,18
2025-08-05,1,19
2025-08-06,1,42
2025-08-07,1,21
2025-08-08,5,30
2025-08-09,1,1
2025-08-10,1,2
2025-08-11,2,2
2025-08-12,1,39
2025-08-13,1,104
2025-08-14,2,55
2025-08-15,5,38
2025-08-16,5,6
2025-08-17,2,27
2025-08-18,5,20
2025-08-19,3,6
2025-08-20,4,29
2025-08-21,0,1
2025-08-22,0,25
2025-08-23,0,29
2025-08-24,2,14
2025-08-25,1,59
2025-08-26,3,8
2025-08-27,0,11
2025-08-28,0,32
2025-08-29,0,21
2025-08-30,1,31
2025-08-31,1,48
2025-09-01,6,3
2025-09-02,1,35
2025-09-03,0,53
2025-09-04,1,28
2025-09-05,0,5
2025-09-06,0,10
2025-09-07,1,1
2025-09-08,4,18
2025-09-09,1,65
2025-09-10,0,96
2025-09-11,0,28
2025-09-12,0,32
2025-09-13,3,12
2025-09-14,3,18
2025-09-15,1,33
2025-09-16,5,19
2025-09-17,2,53
2025-09-18,0,46
2025-09-19,1,27
2025-09-20,1,18
2025-09-21,0,4
2025-09-22,2,24
2025-09-23,3,169
2025-09-24,2,8
2025-09-25,0,8
2025-09-26,2,25
2025-09-27,2,8
2025-09-28,2,46
2025-09-29,2,2
2025-09-30,0,9
2025-10-01,5,30
2025-10-02,0,18
2025-10-03,4,19
2025-10-04,3,35
2025-10-05,0,2
2025-10-06,1,20
2025-10-07,1,22
2025-10-08,4,4
2025-10-09,1,13
2025-10-10,0,61
2025-10-11,4,15
2025-10-12,0,6
2025-10-13,2,5
2025-10-14,0,3
2025-10-15,1,5
2025-10-16,9,16
2025-10-17,1,8
2025-10-18,0,5
2025-10-20,2,6
2025-10-21,2,50
2025-10-22,1,6
2025-10-23,1,30
2025-10-24,2,9
2025-10-25,2,1
2025-10-26,0,7
2025-10-27,3,21
2025-10-28,1,1
2025-10-29,1,4
2025-10-30,2,0
2025-10-31,0,1
2025-11-01,7,22
2025-11-02,0,15
2025-11-03,3,69
2025-11-04,1,1
2025-11-05,1,4
2025-11-06,1,0
2025-11-07,2,1
2025-11-08,7,6
2025-11-09,0,2
2025-11-10,7,54
2025-11-11,2,23
2025-11-12,1,91
2025-11-13,1,17
2025-11-14,1,6
2025-11-15,0,62
2025-11-16,3,44
2025-11-17,2,42
2025-11-18,3,82
2025-11-19,2,3
2025-11-20,0,9
2025-11-21,3,6
2025-11-22,1,6
2025-11-23,1,3
2025-11-24,1,3
2025-11-25,2,17
2025-11-26,1,6
2025-11-27,2,33
2025-11-28,1,6
2025-11-29,1,4
2025-11-30,1,2
2025-12-01,9,38
2025-12-02,0,3
2025-12-03,8,16
2025-12-04,2,6
2025-12-05,3,30
2025-12-06,1,6
2025-12-07,0,119
2025-12-08,7,1
2025-12-09,6,7
2025-12-10,1,3
2025-12-11,0,19
2025-12-12,3,11
2025-12-13,0,8
2025-12-14,1,1
2025-12-15,3,37
2025-12-16,8,13
2025-12-17,1,5
2025-12-18,1,1
2025-12-19,1,4
2025-12-20,1,12
2025-12-21,5,8
2025-12-22,1,5
2025-12-23,2,3
